;Materialnummer;Kategorie;Unterkategorie;Boxnumenummer;Name;Anzahl;Annmerkung
;176;Kunststoff;Thermoplast;KU-TP-024;PMMA (Plexiglas);;176-19 Stegplatte aus PMMA
;176;Kunststoff;Thermoplast;KU-TP-024;PMMA (Plexiglas);;176-20 Designverkleidung Waterdrops
;176;Kunststoff;Thermoplast;KU-TP-024;PMMA (Plexiglas);;176-21 Designverkleidung Kupfergitter
;176;Kunststoff;Thermoplast;KU-TP-024;PMMA (Plexiglas);;176-22 Designverkleidung Tuch Grau
;176;Kunststoff;Thermoplast;KU-TP-024;PMMA (Plexiglas);;176-23 Designverkleidung Blattgold
;177;Kunststoff;Thermoplast;KU-TP-030;GFIPMMA;1;177-1 Glasfasern und Polymethylmethacrylat
;181;Kunststoff;Thermoplast;KU-TP-30;CF/PEEK;1;181-1 Carbonfaser/ Polyetheretherketon
;183;Kunststoff;Thermoplast;KU-TP-030;CF/PPS;1;183-1 Carbonfasern und Polypphenylensulfid
;145;Kunststoff;Thermoplast- Verbundwerkstoff;KU-TP-012;Aluminium- Polypropylen- Verbundplatte;10;145-1/10 Hylite
;174;Kunststoff;Thermoplast- Verbundwerkstoffe;KU-TP-022;Kunstleder aus PVC;6;174-1/4 Mustermappe
;174;Kunststoff;Thermoplast- Verbundwerkstoffe;KU-TP-022;Kunstleder aus PVC;;174-5/6 Musterstücke
;146;Kunststoff;Thermoplaste;KU-TP-012;Leichtschaumstoffplatte aus Polystryol mit Massivpolystyrol- Oberfläche;1;146-1 Smart-X
;147;Kunststoff;Thermoplaste;KU-TP-013;Polypropylen;6;147-1/4 Kunstrasen- Stücke
;147;Kunststoff;Thermoplaste;KU-TP-013;Polypropylen;;147-5 Musterfächer zweifarbig
;147;Kunststoff;Thermoplaste;KU-TP-013;Polypropylen;;147-6 Polypropylen-Vlies Muster
;148;Kunststoff;Thermoplaste;KU-TP-014;Polyamid 6PA;10;148-1 10 Stäbchen
;148;Kunststoff;Thermoplaste;KU-TP-014;Polyamid 6PA;;148-2/6 Linnotam Glide FG (bunt)
;148;Kunststoff;Thermoplaste;KU-TP-014;Polyamid 6PA;;148-7 Nylonschlauch
;149;Kunststoff;Thermoplaste;KU-TP-015;Polystryrol PS;10;149-1 10 Stäbchen
;150;Kunststoff;Thermoplaste;KU-TP-015;Polyvinylchlorid;10;150-1 10 Stäbchen
;151;Kunststoff;Thermoplaste;KU-TP-015;Polyethylen;11;151-1 10 Stäbchen
;151;Kunststoff;Thermoplaste;KU-TP-015;Polyethylen;;151-2 Vliesstoff aus Polethylen
;152;Kunststoff;Thermoplaste;KU-TP-015;Amorphes Polyethylenterephthalat PET-A;6;152-1/6 Lumex A
;153;Kunststoff;Thermoplaste;KU-TP-016;Polyethylenterephthalat Glycol PET-G;9;153-1/9 Lumex G
;153;Kunststoff;Thermoplaste;KU-TP-016;Polyethylenterephthalat Glycol PET-G;;153-10 PET black
;154;Kunststoff;Thermoplaste;KU-TP-017;Polycarbonat;12;154-1/5 Makrofol (Folie)
;154;Kunststoff;Thermoplaste;KU-TP-017;Polycarbonat;;154-6/8 Makrolon UV
;154;Kunststoff;Thermoplaste;KU-TP-017;Polycarbonat;;154-9 Makrolon AR
;154;Kunststoff;Thermoplaste;KU-TP-017;Polycarbonat;;154-10/11 Makrolon GP
;154;Kunststoff;Thermoplaste;KU-TP-017;Polycarbonat;;154-12 Fantasia
;155;Kunststoff;Thermoplaste;KU-TP-017;Stegplatte aus Polycarbonat;;155-1 Makrolon multi
;155;Kunststoff;Thermoplaste;KU-TP-017;Stegplatte aus Polycarbonat;;155-2 Makrolon multi UV
;155;Kunststoff;Thermoplaste;KU-TP-017;Stegplatte aus Polycarbonat;;155-3 Makrolon multi IQ-relax
;156;Kunststoff;Thermoplaste;KU-TP-031;Styrol-Acrylonitril-Copolymer;1;156-1 Spritzmuster Luran (1 Beutel)
;157;Kunststoff;Thermoplaste;KU-TP-031;Polybutylenterephthalat;1;157- 1 Spritzmuster Ultradur B (1 Beutel)
;158;Kunststoff;Thermoplaste;KU-TP-031;Styrol-Butadien-Copolymer-Harz;1;158 -1 Spritzmuster Styrolux (1 Beutel)
;159;Kunststoff;Thermoplaste;KU-TP-031;Polyamid 66;1;159- 1 Spritzmuster Ultramid (1 Beutel)
;160;Kunststoff;Thermoplaste;KU-TP-031;Acrylnitril-Butadien- Styrol;1;160-1 Spritzmuster Terluran (1 Beutel)
;163;Kunststoff;Thermoplaste;KU-TP-018;Heterogener PVC- Bodenbelag;10;163-1/8 Musterstücke
;163;Kunststoff;Thermoplaste;KU-TP-018;Heterogener PVC- Bodenbelag;;163-9/10 Musterstücke sehr lang
;163;Kunststoff;Thermoplaste;KU-TP-018;Heterogener PVC- Bodenbelag;;163-11 Vinyl Eiche Sierra Landhausdiele
;163;Kunststoff;Thermoplaste;XX;Heterogener PVC- Bodenbelag;;163-11 Landhausdiele Eiche gebürstete Sturktur Holzoptik
;164;Kunststoff;Thermoplaste;KU-TP-019;Homogener PVC-Bodenbelag;15;164-1/14 Musterstücke
;164;Kunststoff;Thermoplaste;KU-TP-019;Homogener PVC-Bodenbelag;;164-15 Musterbuch
;166;Kunststoff;Thermoplaste;KU-TP-020;Polyvinylchlorid ohne  Weichmacher PVC-U;1;166-1 Renoilt Exofol PX
;170;Kunststoff;Thermoplaste;KU-TP-021;Wabenkernplatten;15;170-1 PC- Deckschichten und Aluminium- Sechseck- Wabenkern
;170;Kunststoff;Thermoplaste;KU-TP-021;Wabenkernplatten;;170-2/9 PC- Deckschichten und PC- Wabenkern
;170;Kunststoff;Thermoplaste;KU-TP-021;Wabenkernplatten;;170-10/12 Acrylglas- Deckschichten (PMMA) und PC- Wabenkern
;170;Kunststoff;Thermoplaste;KU-TP-021;Wabenkernplatten;;170-13/14 PET-G- Deckschichten und PET- Kern
;170;Kunststoff;Thermoplaste;KU-TP-021;Wabenkernplatten;;170-15 PMMA- Deckschichten und PET- Kern
;171;Kunststoff;Thermoplaste;KU-TP-021;Parapan;1;
;363;Kunststoff;Thermoplaste;KU-TP-027;Wasserlösliche Folie aus Polyvinylalkohol;5;363-1 Modifizierte kaltwasserlösliche Folie Stärke 40 µm (GA #40 160 mm)
;363;Kunststoff;Thermoplaste;KU-TP-027;Wasserlösliche Folie aus Polyvinylalkohol;;363-2 Konventionelle kaltwasserlösliche Folie Stärke 30 µm (KA #30 230 mm)
;363;Kunststoff;Thermoplaste;KU-TP-027;Wasserlösliche Folie aus Polyvinylalkohol;;363-3 Modifizierte kaltwasserlösliche Folie Stärke: 40 µm (PT #40 230 mm)
;363;Kunststoff;Thermoplaste;KU-TP-027;Wasserlösliche Folie aus Polyvinylalkohol;;363-4 Konventionelle kaltwasserlösliche Folie Stärke: 40 µm (KA #40 160 mm)
;363;Kunststoff;Thermoplaste;KU-TP-027;Wasserlösliche Folie aus Polyvinylalkohol;;363-5 Info- Mappe
;180;Kunststoff;X;KU-TP-025;Lionleum;46;180-1/44 Musterstücke
;180;Kunststoff;X;KU-TP-025;Lionleum;;180-45 Musterbuch
;180;Kunststoff;X;KU-TP-025;Lionleum;;180-46 Produktkatalog
;180;Kunststoff;X;KU-TP-025;Lionleum;;180-47/48 Musterstück 'Desktop'
;182;Kunststoff;X;KU-TP-026;Korklinoleum;4;182-1/4 Musterstücke
;184;Metall;Eisenmetall;ME-EM-001;Edelstahl;4;184-1 Wölbstruktur 0.5 mm
;184;Metall;Eisenmetall;ME-EM-001;Edelstahl;;184-2 Wölbstruktur 0.4 mm
;184;Metall;Eisenmetall;ME-EM-001;Edelstahl;;184-3 glaskugelgestrahlt
;184;Metall;Eisenmetall;ME-EM-001;Edelstahl;;184-4 gebürstet
;186;Metall;Nichteisenmetall;ME-NM-002;Aluminium;7;186-1 Wölbstruktur beschichtet 0.5mm
;186;Metall;Nichteisenmetall;ME-NM-002;Aluminium;;186-2 Wölbstruktur 1.15mm
;186;Metall;Nichteisenmetall;ME-NM-002;Aluminium;;186-3 länglich
;186;Metall;Nichteisenmetall;ME-NM-002;Aluminium;;186-4/7 Alutrim Musterstücke
;188;Mineralische Werkstoffe;Gestein;MW-GE-001;Phyllit;3;188-1 Natural Split
;188;Mineralische Werkstoffe;Gestein;MW-GE-001;Phyllit;;188-2 Honed
;188;Mineralische Werkstoffe;Gestein;MW-GE-001;Phyllit;;188-3 Musterschachtel
;189;Mineralische Werkstoffe;Gestein;MW-GE-001;Pandang;1;
;190;Mineralische Werkstoffe;Gestein;MW-GE-001;Sandstein;2;
;191;Mineralische Werkstoffe;Kalkwerkstoffe;MW-KW-002;Sumpfkalkputz;1;191-1 Musterplatte
;192;Mineralische Werkstoffe;Kalkwerkstoffe;MW-KW-002;Kalk- Universal- Spachtel;1;192-1 Musterplatte
;193;Mineralische Werkstoffe;Kalkwerkstoffe;MW-KW-002;Kalkstein;2;193-1/2
;194;Mineralische Werkstoffe;Kalkwerkstoffe;MW-KW-002;Kalksand (feuergestrocknet);11;194-1 Beutel
;195;Mineralische Werkstoffe;Lehmwerkstoffe;MW-KW-003;Lehmbauplatte;;195-1 ohne Wandheizung
;195;Mineralische Werkstoffe;Lehmwerkstoffe;MW-KW-003;Lehmbauplatte;;195-2 Lehmbauplatte
;195;Mineralische Werkstoffe;Lehmwerkstoffe;MW-KW-003;Lehmbauplatte;;195-3 Lehm- Trockenputzplatte
;195;Mineralische Werkstoffe;Lehmwerkstoffe;MW-KW-003;Lehmbauplatte;;195-4 Lehmbauplatte (25mm)
;195;Mineralische Werkstoffe;Lehmwerkstoffe;MW-KW-003;Lehmbauplatte;;195-5/6 Klimawand
;195;Mineralische Werkstoffe;Lehmwerkstoffe;MW-KW-004;Lehmbauplatte;;195-7/10 Lehmbauplatte
;195;Mineralische Werkstoffe;Lehmwerkstoffe;MW-KW-004;Lehmbauplatte;;195-11 Lehmputz auf Holzfaserplatte
;196;Mineralische Werkstoffe;Lehmwerkstoffe;MW-KW-004;Lehm- Ziegelrabitz;1;
;197;Mineralische Werkstoffe;Lehmwerkstoffe;MW-LW-005;Lehmputz;2;197-1 Lehm- Oberputz
;197;Mineralische Werkstoffe;Lehmwerkstoffe;MW-LW-005;Lehmputz;;197-2 Lehm- Unterputz
;198;Mineralische Werkstoffe;Lehmwerkstoffe;MW-LW-006;Lehm- Mörtel;1;198-1 Lehm- Armierungsmörtel
;199;Mineralische Werkstoffe;Lehmwerkstoffe;MW-LW-006;Lehmspachtel;2;199-1 Lehmspachtel
;199;Mineralische Werkstoffe;Lehmwerkstoffe;MW-LW-007;Lehmspachtel;;199-2 Muster für Lehmspachtel
;200;Mineralische Werkstoffe;Lehmwerkstoffe;MW-LW-007;Lehmfarbe;11;200-1 Beutel rot
;200;Mineralische Werkstoffe;Lehmwerkstoffe;MW-LW-008;Lehmfarbe;;200-2 Lehmfarbe mit Strukturzusätze (Fläschchen)
;200;Mineralische Werkstoffe;Lehmwerkstoffe;MW-LW-008;Lehmfarbe;;200-3/10 Lehmfarbe mit Strukturzusätze (Mustertafeln)
;200;Mineralische Werkstoffe;Lehmwerkstoffe;MW-LW-009;Lehmfarbe;;200-11/18 Farb- Mustertafeln
;397;Mineralische Werkstoffe;Schiefer;MW-X-012;Schieferplatte;;397-1 Schieferplatte Grube Magog Rechteck
;398;Mineralische Werkstoffe;Schiefer;MW-X-012;Schieferplatte;;398-1 Schieferfliese Spaltgrau/geschliffen
;375;Mineralische Werkstoffe;Sonstige;;Fertigungsmuster;3;375-1/3 Schichtmuster 
;201;Mineralische Werkstoffe;X;MW-LW-009;Sandsteinmattem;5;201-1/5 Musterstücke
;203;Mineralische Werkstoffe;X;MW-ZW-010;Fugenmörtel;9;203-1/9
;204;Mineralische Werkstoffe;X;MW-X-011;Aufgeblähtes Vulkanstein- Granulat;3;204-1 Thermo- Fill
;204;Mineralische Werkstoffe;X;MW-X-011;Aufgeblähtes Vulkanstein- Granulat;;204-2 Isolier- Trockenschüttung
;204;Mineralische Werkstoffe;X;MW-X-011;Aufgeblähtes Vulkanstein- Granulat;;204-3 Bio- Isolier- Trockenschüttung
;205;Mineralische Werkstoffe;X;MW-X-011;Calciumsilikat- Platte;1;
;210;Mineralische Werkstoffe;X;MW-X-012;Kohlenstofffasern;2;210-1/2 Kohlenstofffasergewebe
;211;Mineralische Werkstoffe;X;MW-X-012;Carbonfaser;1;211-1 Carbonfaser
;224;Mineralische Werkstoffe;X;MW-X-012;Carbonfaser/Kohlenstofffaser;1;224-1 Carbonfaser mit Nickelmantel
;202;Mineralische Werkstoffe;Zementöse Werkstoffe;MW-ZW-010;Kunststein Mamor;7;202-1 Nero
;202;Mineralische Werkstoffe;Zementöse Werkstoffe;MW-ZW-010;Kunststein Mamor;;202-2 Bianco
;202;Mineralische Werkstoffe;Zementöse Werkstoffe;MW-ZW-010;Kunststein Mamor;;202-3/4 Cristall
;202;Mineralische Werkstoffe;Zementöse Werkstoffe;MW-ZW-010;Kunststein Mamor;;202-5 Gobi Grey
;202;Mineralische Werkstoffe;Zementöse Werkstoffe;MW-ZW-010;Kunststein Mamor;;202-6 Musterkoffer
;202;Mineralische Werkstoffe;Zementöse Werkstoffe;MW-ZW-010;Kunststein Mamor;;202-7 Musterkasten
;206;Papier;Maschinengefertigtes Papier;PA-MP-001;Papierwabenkernplatte mit PUR- Beschichtung und Naturfasern;1;206-1 Baypreg F natural fibre
;207;Papier;Maschinengefertigtes Papier;PA-MP-001;Wölbstrukturiertes Papier;3;207-1 orange
;207;Papier;Maschinengefertigtes Papier;PA-MP-001;Wölbstrukturiertes Papier;;207-2 rot
;207;Papier;Maschinengefertigtes Papier;PA-MP-001;Wölbstrukturiertes Papier;;207-3 weiss
;208;Papier;Maschinengefertigtes Papier;PA-MP-002;Museumskarton;18;208-1/18 vers. Dicken und Farben
;209;Papier;Maschinengefertigtes Papier;PA-MP-002;Zelluloserfaser- Dämmstoff;4;209-1/2 Thermofloc Beutel
;209;Papier;Maschinengefertigtes Papier;PA-MP-002;Zelluloserfaser- Dämmstoff;;209-3 Dämmplatte
;209;Papier;Maschinengefertigtes Papier;PA-MP-002;Zelluloserfaser- Dämmstoff;;209-4 Dämmpellets
;229;Papier;X;PA-X-007;Papier beschichtet;1;229-1 Papier Wabenstruktur
;230;Papier;X;PA-X-008;Tapeten;2;230-1 Das 1x1 der Tapete
;230;Papier;X;PA-X-009;Tapeten;;230-2 Materialsammlung Tapeten Bordüren
;374;Papier;X;PA-X-003;Papier- Schaum- Chips;1;374-1 Kiste
;376;Papier;X;PA-X-003;Musterbücher Papier Union;2;376-1/2 Sammlung Musterbücher
;377;Papier;X;PA-X-003;Synthetikpapier;2;377-1 Mustermappe
;377;Papier;X;PA-X-003;Synthetikpapier;;377-2 Musterpapier 3 Stück
;378;Papier;X;PA-X-004;Siebdruck & Werbetechnik;1;378-1 Mustermappe
;379;Papier;X;PA-X-004;Feinstpapier;5;379-1 Mustermappe 'Mein Papier'
;379;Papier;X;PA-X-004;Feinstpapier;;379-2 Mustermappe 'Produkte & Farben'
;379;Papier;X;PA-X-004;Feinstpapier;;379-3 Mustermappe
;379;Papier;X;PA-X-004(neben);Feinstpapier;;379-4/5 Mustermappe 'Lessebo Smooth Bright'
;380;Papier;X;PA-X-004(neben);Druckmusterbuch;1;380-1 Druckmusterbuch
;381;Papier;X;PA-X-004(neben);Musterbuch;1;381-1 Musterbuch 'Paperbook'
;382;Papier;X;PA-X-004(neben);Rauhfaser- Tapete;1;382-1 Musterbuch 'Rauhfaser Strukturen'
;383;Papier;X;PA-X-004(neben);Offset- Papier;4;383-1 Mustermappe
;383;Papier;X;PA-X-004(neben);Offset- Papier;;383-2 Musterpapiere
;383;Papier;X;PA-X-005;Offset- Papier;;383-3 recycling Papier 'Circle offset Premium White' Musterstücke
;383;Papier;X;PA-X-005;Offset- Papier;;383-4 recycling Papier 'Cricle offset White' Musterstücke
;384;Papier;X;PA-X-005;Papiermuster 'James Cropper';18;384-1/18 Musterstücke vers. Farben und Dichten
;385;Papier;X;PA-X-005;Drucktechniken;;385-1 Mustermappe 'heaven 42'
;386;Papier;X;PA-X-006;Recycling Papier;4;386-1 Mustermappe Bilderdruck matt White
;386;Papier;X;PA-X-006;Recycling Papier;;386-2 Mustermappe Bilderdruck matt Premium White
;386;Papier;X;PA-X-006;Recycling Papier;;386-3 Mustermappe Bilderdruck glänzend Premium White
;386;Papier;X;PA-X-006;Recycling Papier;;386-4 Mustermappe Naturpapier Premium White
;387;Papier;X;PA-X-006;Chromosulfatkarton;2;387-1 Musterstücke 'Invercote G' einseitig gestrichen holzfrei extra zäh
;387;Papier;X;PA-X-006;Chromosulfatkarton;;387-2 Musterstücke 'Invercote Creato' beidseitig matt gestrichen holzfrei
;388;Papier;X;PA-X-006;Druckpapier;3;388-1/3 Musterpakete
;392;Papier;X;PA-X-007;Spezial Papier;10;392-1 Musterstreifen
;392;Papier;X;PA-X-007;Spezial Papier;;392-2 Schablonenkarton 240g/m^2
;392;Papier;X;PA-X-007;Spezial Papier;;392-3 Schablonenkarton 275g/m^2
;392;Papier;X;PA-X-007;Spezial Papier;;392-4 Schablonenkarton 250g/m^2
;392;Papier;X;PA-X-007;Spezial Papier;;392-5 Schablonenkarton 180g/m^2
;392;Papier;X;PA-X-007;Spezial Papier;;392-6 Schnittmusterpapier 50g/m^2
;392;Papier;X;PA-X-007;Spezial Papier;;392-7 Heißsiegelpapier 60g/m^2 mit Markierungen
;392;Papier;X;PA-X-007;Spezial Papier;;392-8 Heißsiegelpapier n60g/m^2 
;392;Papier;X;PA-X-007;Spezial Papier;;392-9 Papier Service Broschüre
;392;Papier;X;PA-X-007;Spezial Papier;;392-10 Papierkatalog
;212;Pflanzliche Werkstoffe;X;PW-X-001;Kork;5;212-1 Kork natur
;212;Pflanzliche Werkstoffe;X;PW-X-001;Kork;;212-2 Korkschüttung expandiert
;212;Pflanzliche Werkstoffe;X;PW-X-001;Kork;;212-3 Naturkorkschrot
;212;Pflanzliche Werkstoffe;X;PW-X-001;Kork;;212-4 Isolier- Kork
;212;Pflanzliche Werkstoffe;X;PW-X-001;Kork;;212-5 Wärmedämmplatte
;213;Pflanzliche Werkstoffe;X;PW-X-002;Kokos;10;213-1/7 Humusziegel aus Kokosfasern (Nur 1-3)
;213;Pflanzliche Werkstoffe;X;PW-X-003;Kokos;;213-8 Kokosfasern
;213;Pflanzliche Werkstoffe;X;PW-X-003;Kokos;;213-9 Kokosfaserwand
;213;Pflanzliche Werkstoffe;X;PW-X-003;Kokos;;213-10 Kokosfaser verarbeitet
;214;Pflanzliche Werkstoffe;X;PW-X-004;Tagua;3;214-1 Nuss poliert
;214;Pflanzliche Werkstoffe;X;PW-X-004;Tagua;;214-2 Frucht
;214;Pflanzliche Werkstoffe;X;PW-X-004;Tagua;;214-3 Nuss roh Beutel
;215;Pflanzliche Werkstoffe;X;PW-X-005;Bernstein;2;215-1 Bernstein roh
;215;Pflanzliche Werkstoffe;X;PW-X-005;Bernstein;;215-2 Bernstein behandelt
;216;Pflanzliche Werkstoffe;X;PW-X-006;Sisalfasern;10;216-1 naturbelassen
;216;Pflanzliche Werkstoffe;X;PW-X-006;Sisalfasern;;216-2/10 Farbmuster
;217;Pflanzliche Werkstoffe;X;PW-X-007;Bambus;6;217-1/6 Bambuslamellen- Rollenware
;218;Pflanzliche Werkstoffe;X;PW-X-006;Kapokfasern;1;218-1 Kapokfasern Beutel
;219;Pflanzliche Werkstoffe;X;PW-X-010;Reishülsen- Polymer- Werkstoff;3;219-1/3 Terassendielen
;220;Pflanzliche Werkstoffe;X;PW-X-008;Hanf;12;220-1 Hanf- Lehm- Mischung
;220;Pflanzliche Werkstoffe;X;PW-X-008;Hanf;;220-2 Hanf- Dämmwolle
;220;Pflanzliche Werkstoffe;X;PW-X-009;Hanf;;220-3 Hanf- Trittschal
;220;Pflanzliche Werkstoffe;X;PW-X-009;Hanf;;220-4 Hanf- Jute- Dämmwolle
;220;Pflanzliche Werkstoffe;X;PW-X-008;Hanf;;220-5 Hanf- Kalfaterband
;220;Pflanzliche Werkstoffe;X;PW-X-008;Hanf;;220-6 Hanffaser 
;220;Pflanzliche Werkstoffe;X;PW-X-009;Hanf;;220-7 Hanffaser- Schüttung
;220;Pflanzliche Werkstoffe;X;PW-X-009;Hanf;;220-8 Hanf- Dämmwolle
;220;Pflanzliche Werkstoffe;X;PW-X-009;Hanf;;220-9 Hanf- Dämmwolle
;220;Pflanzliche Werkstoffe;X;PW-X-013;Hanf;;220- 10/11 Thermo- Hanf Premium
;220;Pflanzliche Werkstoffe;X;PW-X-013;Hanf;;220- 12 Thermo- Hanf- Jute- Combi
;221;Pflanzliche Werkstoffe;X;PW-X-012;Jute;2;221-1 Thermo- Jute Duo
;221;Pflanzliche Werkstoffe;X;PW-X-012;Jute;;221-2 Thermo- Jute 100
;226;Pflanzliche Werkstoffe;X;PW-X-015;Naturvlies;1;226-1 Naturfasern verarbeitetes Halbzeug
;227;Pflanzliche Werkstoffe;X;PW-X-011;Arenga;1;227-1 Arengafasern
;228;Pflanzliche Werkstoffe;X;PW-X-011;Fibre;1;228-1 Fibrefasern
;222;Pflanzliche Werkstoffe ;X;PW-X-011;Flachs;1;222-1 Flachsfasern
;234;Textile Werkstoffe;Faserverbundstoffe;TW-FV-002;Nadelvlies;4;234-1/3 Musterstücke
;234;Textile Werkstoffe;Faserverbundstoffe;TW-FV-002;Nadelvlies;;234-4 Mustermappe
;236;Textile Werkstoffe;Faserverbundstoffe;TW-FV-003;Mikrofaserwirbelvlies;6;236-1
;236;Textile Werkstoffe;Faserverbundstoffe;TW-FV-003;Mikrofaserwirbelvlies;;236-2/4 Musterstücke (88% Polyester 12% PUR)
;236;Textile Werkstoffe;Faserverbundstoffe;TW-FV-003;Mikrofaserwirbelvlies;;236-5 Mustermappe
;236;Textile Werkstoffe;Faserverbundstoffe;TW-FV-003;Mikrofaserwirbelvlies;;236-6 Musterstück (85% Polyester 15% PUR)
;237;Textile Werkstoffe;Faserverbundstoffe;TW-FV-004;Polyethylen- Gewebe (Xorel: 85% biobashed PE 15% PE);31;237-1/31 Musterstücke
;241;Textile Werkstoffe;Faserverbundstoffe;TW-FV-005;Filz ;5;241-1/5 Musterkarten
;254;Textile Werkstoffe;Faserverbundstoffe;TW-GW-006;Walkfilz;3;254-1/3 Mustermappe
;242;Textile Werkstoffe;Gewebe;TW-GW-006;Flor- Gewebe;1;242-1 Musterstück (100% Mohair)
;249;Textile Werkstoffe;Gewebe;TW-GW-006 (neben);Papierschnurgewebe;1;249-1 Mustermappe
;255;Textile Werkstoffe;Gewebe;TW-GW-006;Samt;2;255-1 Musterstück braun
;255;Textile Werkstoffe;Gewebe;TW-GW-006;Samt;;255-2 Musterfächer (80% Baumwolle 10% Modal 10% Polyester)
;257;Textile Werkstoffe;Gewebe;TW-GW-007;Denim;1;257-1 Hanf- Denim Mustermappe
;258;Textile Werkstoffe;Gewebe;TW-GW-007;Batist;1;258-1 Musterstück (100% Baumwolle)
;259;Textile Werkstoffe;Gewebe;TW-GW-007;Satin;1;259-1 Musterstück (100% Baumwolle)
;260;Textile Werkstoffe;Gewebe;TW-GW-007;Flanell;2;260-1 Musterstück Elefantenmuster (100% Baumwolle)
;260;Textile Werkstoffe;Gewebe;TW-GW-007;Flanell;;260-2 Musterstück Füchsemuster (100% Baumwolle)
;261;Textile Werkstoffe;Gewebe;TW-GW-007;Feincord;1;261-1 Musterstück (100% Baumwolle)
;262;Textile Werkstoffe;Gewebe;TW-GW-007;Vlies;1;262-1 Musterstück (100% Baumwolle)
;263;Textile Werkstoffe;Gewebe;TW-GW-007;Popeline;1;263-1 Musterstück (100% Baumwolle)
;264;Textile Werkstoffe;Gewebe;TW-GW-007;Baumwoll-Stoff;2;264-1 Musterstück Sand
;264;Textile Werkstoffe;Gewebe;TW-GW-007;Baumwoll-Stoff;;264-5 Musterstück Kalkstein
;265;Textile Werkstoffe;Gewebe;TW-GW-007;Perkal;1;265-1 Musterstück (100% Baumwolle)
;266;Textile Werkstoffe;Gewebe;TW-GW-007;Molton;2;266-1 Musterstück Molton extra dick (100% Baumwolle)
;266;Textile Werkstoffe;Gewebe;TW-GW-007;Molton;;266-2 Musterstück Doppel-Molton mit Nässeschutz (100% Baumwolle)
;268;Textile Werkstoffe;Gewebe;TW-GW-007;Canvas;1;268-1 Musterstück (100% Baumwolle)
;269;Textile Werkstoffe;Gewebe;TW-GW-007;Sweat;4;269-1 Musterstück (100% Baumwolle)
;269;Textile Werkstoffe;Gewebe;TW-GW-007;Sweat;;269-2 Sweatshirt- Stoff
;269;Textile Werkstoffe;Gewebe;TW-GW-007;Sweat;;269-3 Mustermappe Sommersweat
;269;Textile Werkstoffe;Gewebe;TW-GW-007;Sweat;;269-4 Mustermappe Samtsweat
;270;Textile Werkstoffe;Gewebe;TW-GW-007;Mullwindelgewebe;1;270-1 Musterstück (100% Baumwolle)
;271;Textile Werkstoffe;Gewebe;TW-GW-008;Harris- Tweed;1;271-1 Mustermappe (100% schottische Schurwolle)
;272;Textile Werkstoffe;Gewebe;TW-GW-008;Bourette- Seide;1;272-1 Mustermappe Natur
;273;Textile Werkstoffe;Gewebe;TW-GW-008;Woll- Etamin;1;273-1 Mustermappe (100% Baumwolle)
;274;Textile Werkstoffe;Gewebe;TW-GW-008;Schurwollstoffe;2;274-1 Musterstück
;274;Textile Werkstoffe;Gewebe;TW-GW-008;Schurwollstoffe;;274-2 Mustermappe
;275;Textile Werkstoffe;Gewebe;TW-GW-008;Dupionseid;1;275-1 Mustermappe farbig
;276;Textile Werkstoffe;Gewebe;TW-GW-008;Seiden- Chiffon;1;276-1 Mustermappe farbig
;277;Textile Werkstoffe;Gewebe;TW-GW-008;Wildseide;1;277-1 Mustermappe
;278;Textile Werkstoffe;Gewebe;TW-GW-008;Leinengewebe;4;278-1 Mustermappe natur
;278;Textile Werkstoffe;Gewebe;TW-GW-008;Leinengewebe;;278-2  Mustermappe farbig
;278;Textile Werkstoffe;Gewebe;TW-GW-008;Leinengewebe;;278-3 Mustermappe weiss
;278;Textile Werkstoffe;Gewebe;TW-GW-008;Leinengewebe;;278-4 Mustermappe Feinleinen farbig
;279;Textile Werkstoffe;Gewebe;TW-GW-009;Bestickte Leinen- & Baumwollstoffe;1;279-1 Mustermappe
;282;Textile Werkstoffe;Gewebe;TW-GW-009;Ramie;1;282-1 Mustermappe Ramiefaserstoffe
;283;Textile Werkstoffe;Gewebe;TW-GW-009;Hanf;1;283-1 Mustermappe Hanffaserstoffe
;286;Textile Werkstoffe;Gewebe;TW-GW-009;Kalamkari Blumendruck;1;286-1 Mustermappe
;287;Textile Werkstoffe;Gewebe;TW-GW-009;Bezugsstoffe;1;287-1 Mustermappe
;288;Textile Werkstoffe;Gewebe;TW-GW-009;Baumwollgewebe;1;288-1 Mustermappe
;288;Textile Werkstoffe;Gewebe;TW-GW-009;Baumwollgewebe;;288-2 Canvas 360 bedruckt mit Oberflächenbeschichtung
;289;Textile Werkstoffe;Gewebe;TW-GW-009;Cutwork- Stoffe;1;289-1 Musterkarte (100% Baumwolle)
;290;Textile Werkstoffe;Gewebe;TW-GW-009;Crepe- Satin;1;290-1 Mustermappe
;291;Textile Werkstoffe;Gewebe;TW-GW-009;Futterseide;1;291-1 Mustermappe farbig
;292;Textile Werkstoffe;Gewebe;TW-GW-009;Brennnesselstoff;1;292-1 Musterkarte
;294;Textile Werkstoffe;Gewebe;TW-GW-010;Wolle- Seide Boucles;1;294-1 Musterkarte
;323;Textile Werkstoffe;Gewebe;TW-TE-017;Schwarze Seide;1;323-1 Mustermappe
;324;Textile Werkstoffe;Gewebe;TW-TE-017;Seidenmischgewebe;1;324-1 Mustermappe
